Cluster,Rank,Code,Description,Micro dept,Qty,Sales
Rest,33895,761295,OCTOPUS PER KG,SEA FOOD,1,3120
Rest,33896,550207,SCOTTS EMULSION ORIG.200ML,SUPPLIMENTS,3,3120
Rest,33897,988654,MULTI PURPOSE SCRUB BRUSH,CLEANING BRUSHES,16,3117
Rest,33898,535561,HOODED BABY SHAWL,BABY SHAWLS,2,3116
Rest,33899,401470,PLATE 11INCH GREEN JAZI SW PA,DISPOSABLE PLATES,11,3115
Rest,33900,600215,ANTIBACTERIAL SOAP 100G,SOAP ANTIBACTERIAL,42,3114
Rest,33901,677192,ACME RO WALL CLOCK,WALL CLOCKS,2,3112
Rest,33902,786362,MIXED CHERRY TOMATO PKT,CHERRY TOMATO,13,3107
Rest,33903,687821,QUEST ONCE A DAY IMMUNE C 30S,SUPPLIMENTS,3,3105
Rest,33904,401502,CERES NECTAR TROPIKAL JUICE 250ML,TETRA,48,3103
Rest,33905,536675,L PORTELLO/PORTESSA EMULSION 50ML,BAKING INGREDIENTS,36,3103
Rest,33906,555728,OUDHE TASOTTI BLISTER,CAR PERFUME,16,3103
Rest,33907,984889,KOOL MEN SHOE POT 3105,CASUAL SHOES,1,3103
Rest,33908,989337,CRANS BRIGHT BOOT SPORT #011-1,KIDS SHOES,2,3103
Rest,33909,655525,BLUE) CONFERENCE CHAIR,OFFICE CHAIRS,1,3103
Rest,33910,530032,SCISSOR JACK TORIN 1.5 TON T10152,TROLLLEY JACK AND STAND,1,3103
Rest,33911,931138,MEN SLEEVELESS,OUTWEAR ACCESSORIES,2,3103
Rest,33912,646618,YOUTH FF JEANS #812,KIDS JEAN SHORT,2,3103
Rest,33913,649257,HALIL UNISEX KINJE SHOE 26-3,LADIES CASUAL SHOES,2,3103
Rest,33914,556037,DIREK BIG SIZE NORMAL HOOD,JACKETS & JUMPERS,2,3103
Rest,33915,575358,LADY FF SUN/JASSIE W/F 199024,LADIES SPORTS SWEATER,2,3103
Rest,33916,402291,KID 2PC SUIT HONEY KID LOVE,SWEATER,2,3103
Rest,33917,676693,PROMO 11,LADIES JEANS,6,3103
Rest,33918,536682,L ORANGE EMULSION 500ML,BAKING INGREDIENTS,6,3103
Rest,33919,654991,CUP (EMOJI) YELLOW 107,MUGS,9,3103
Rest,33920,658475,BOYS BOXER COL 99 - 3902 SZ 8,BOXERS,6,3103
Rest,33921,402852,BIB I PC #R-8053,BABY ACCESSORIES,15,3103
Rest,33922,655437,WHISKEY COLLINS 250ML,WHISKY,12,3103
Rest,33923,981437,PETTICOAT COTTON SHORT WHT,RAIN COAT,12,3103
Rest,33924,655439,GIN & TONIC 250ML,GIN,12,3103
Rest,33925,410926,MILK CHOCOLATE WITH CASHEW 35G,CHOCO SNACK,24,3103
Rest,33926,676028,ASSORTED LADIES TOP #M1500,LADIES SHORT SLEEVE,3,3103
Rest,33927,575144,WALLETS 2,TRAVEL BAG,3,3103
Rest,33928,676872,STRAWBERRY 5 STICK GUM16G,CHEWS,61,3103
Rest,33929,537256,BAOBAB FRUIT POWDER 400GM,MIXED NUTS,4,3100
Rest,33930,537318,LIFE W G/F STEEL CUT OATS 500G,OATS,4,3100
Rest,33931,656978,LIGHT GREY SUITCASEE-MEDIUM,HARD SUITCASE,1,3099
Rest,33932,657058,GREY SUITCASEE-MEDIUM,HARD SUITCASE,1,3099
Rest,33933,317954,MEN JEANS BLEU GRASS # 719400-1,JEANS,1,3099
Rest,33934,686989,BURST 1PC,CHEWS,719,3099
Rest,33935,525965,OLAY MAKE UP MILK DRY SKIN 200ML,BODY LOTIONS,3,3096
Rest,33936,676596,BLENDER 1.5LTS BBP 15400PPB,BLENDER,1,3095
Rest,33937,555520,TABLE BALL PEN BLACK 0.7?64873,BALL PEN,29,3095
Rest,33938,661140,ZOOM BACKPACK SEN 2032/2033/1469,LAPTOP,2,3095
Rest,33939,480386,BROWNS BOCCONCICI 250G,PROCESSED SLICES CHEESE,5,3093
Rest,33940,201172,ROYSAMBU-S/ PLATE,QUICKMART,12,3093
Rest,33941,557222,A GORGEOUS PRF 100ML,PERFUMES,2,3093
Rest,33942,988671,MADGET LADIES BRA SET #2357,LADIES BRA,3,3091
